epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.02031249925494194;0.6826788187026978;0.001;0.0006249999860301614;0.6758275032043457
0;0.019687499850988388;0.6813547015190125;0.0022956869;0.0;0.6799178123474121
1;0.009218749590218067;0.6769318580627441;0.0022956869;0.02812499925494194;0.6687305569648743
2;0.016875000670552254;0.6706848740577698;0.0022956869;0.036249998956918716;0.6719755530357361
3;0.006093749776482582;0.6702727675437927;0.0022956869;0.0012499999720603228;0.6642292141914368
4;0.010312500409781933;0.6629684567451477;0.0022956869;0.0006249999860301614;0.6519230604171753
5;0.0053125000558793545;0.6514372825622559;0.0022956869;0.009999999776482582;0.6333110332489014
6;0.012031249701976776;0.6496338844299316;0.0022956869;0.0;0.6404280066490173
7;0.0021875000093132257;0.6380857229232788;0.0022956869;0.0;0.6232191920280457
8;0.0012499999720603228;0.6261060237884521;0.0022956869;0.012500000186264515;0.6101957559585571
9;0.002968749962747097;0.6291835904121399;0.0022956869;0.0;0.6323840022087097
10;0.002968749962747097;0.6310927867889404;0.0022956869;0.0;0.6477500200271606
11;0.0037499999161809683;0.6391656994819641;0.0022956869;0.0012499999720603228;0.6556488871574402
12;0.0010937500046566129;0.6058490872383118;0.0011478434;0.0;0.59972083568573
13;0.00046874998952262104;0.6005018353462219;0.0011478434;0.0;0.592988133430481
14;0.0015625000232830644;0.5944222211837769;0.0011478434;0.0;0.6081748008728027
15;0.00015624999650754035;0.5916272401809692;0.0011478434;0.0;0.5933989882469177
16;0.0;0.5896497964859009;0.0011478434;0.0012499999720603228;0.5814142823219299
17;0.00046874998952262104;0.5867045521736145;0.0011478434;0.0012499999720603228;0.5818547010421753
18;0.00046874998952262104;0.587722659111023;0.0011478434;0.0006249999860301614;0.5961699485778809
19;0.0012499999720603228;0.5880369544029236;0.0011478434;0.0006249999860301614;0.5749343633651733
